,German,French,Alsatian,germ_pron,als_pron,fr_pron,orth_score_germ_als,orth_score_fr_als,pron_score_fr_als,pron_score_germ_als
250,Bussard,busard,.,"('PSRT', '')","('', '')","('PSRT', '')",.,.,.,.
251,Büste,buste,.,"('PST', '')","('', '')","('PST', '')",.,.,.,.
252,Buvette,buvette,.,"('PFT', '')","('', '')","('PFT', '')",.,.,.,.
253,Caban,caban,.,"('KPN', '')","('', '')","('KPN', '')",.,.,.,.
254,Cabriolet,cabriolet,.,"('KPRLT', '')","('', '')","('KPRLT', '')",.,.,.,.
255,Cachet,cachet,.,"('KXT', 'KKT')","('', '')","('KXT', 'KKT')",.,.,.,.
256,Café,café,Kàffee,"('KF', '')","('KF', '')","('KF', '')",0.2,0.2,1.0,1.0
257,Caisson,caisson,Sankkàschta,"('KSN', '')","('SNKXT', '')","('KSN', '')",0.2222222222222222,0.2222222222222222,0.5,0.5
258,Camion,camion,Làschtwààga,"('KMN', '')","('LXTK', '')","('KMN', '')",0.23529411764705882,0.23529411764705882,0.2857142857142857,0.2857142857142857
259,Camouflage,camouflage,Tàrnung,"('KMFLJ', 'KMFLK')","('TRNNK', '')","('KMFLJ', 'KMFLK')",0.23529411764705882,0.23529411764705882,0.2,0.2
260,Canaille,canaille,.,"('KNL', '')","('', '')","('KNL', '')",.,.,.,.
261,Caprice,caprice,.,"('KPRS', '')","('', '')","('KPRS', '')",.,.,.,.
262,Cedille,cédille,.,"('STL', '')","('', '')","('KTL', '')",.,.,.,.
263,Celine,Céline,.,"('SLN', '')","('', '')","('KLN', '')",.,.,.,.
264,Chaiselongue,chaise longue,.,"('XSLNK', '')","('', '')","('XSLNK', '')",.,.,.,.
265,Champignon,champignon,Gàspedal,"('XMPNN', 'XMPKNN')","('KSPTL', '')","('XMPNN', 'XMPKNN')",0.1111111111111111,0.1111111111111111,0.2,0.2
266,Chance,chance,Chance,"('XNS', '')","('XNS', '')","('XNS', '')",1.0,1.0,1.0,1.0
267,Chanson,chanson,Leed,"('XNSN', '')","('LT', '')","('XNSN', '')",0.0,0.0,0.0,0.0
268,Chapeau,chapeau,Höt,"('XP', '')","('T', '')","('XP', '')",0.2,0.2,0.0,0.0
269,Charlotte,Charlotte,.,"('XRLT', '')","('', '')","('XRLT', '')",.,.,.,.
270,charmant,charmant,.,"('XRMNT', '')","('', '')","('XRMNT', '')",.,.,.,.
271,Charme,charme,Zàuber,"('XRM', '')","('SPR', '')","('XRM', '')",0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333
272,Charmeur,charmeur,.,"('XRMR', '')","('', '')","('XRMR', '')",.,.,.,.
273,Chassis,châssis,.,"('XSS', '')","('', '')","('XSS', '')",.,.,.,.
274,Chauffeur,Chauffeur,.,"('XFR', '')","('', '')","('XFR', '')",.,.,.,.
275,Chaussee,chaussée,Fàhrbàhn,"('XS', '')","('FRPN', '')","('XS', '')",0.125,0.125,0.0,0.0
276,Chauvinist,chauviniste,.,"('XFNST', '')","('', '')","('XFNST', '')",.,.,.,.
277,Chef,chef,Schäff,"('XF', '')","('XF', 'SF')","('XF', '')",0.6,0.6,1.0,1.0
278,Cheminée,cheminée,Kàmin,"('KMN', '')","('KMN', '')","('KMN', '')",0.46153846153846156,0.46153846153846156,1.0,1.0
279,Chic,chic,.,"('XK', '')","('', '')","('XK', '')",.,.,.,.
280,Chicorée,chicorée,Schicori,"('XKR', '')","('XKR', '')","('XKR', '')",0.75,0.75,1.0,1.0
281,Chiffre,chiffre,Zàhla,"('XFR', '')","('SL', '')","('XFR', '')",0.16666666666666666,0.16666666666666666,0.0,0.0
282,Chose,chose,Sàch,"('XS', '')","('SX', 'SK')","('XS', '')",0.4444444444444444,0.4444444444444444,0.5,0.5
283,Cidre,cidre,Äpfelwin,"('STR', '')","('PFLN', '')","('STR', '')",0.15384615384615385,0.15384615384615385,0.0,0.0
284,Cineast,cinéaste,.,"('SNST', '')","('', '')","('SNST', '')",.,.,.,.
285,Citrin,citrine,.,"('STRN', '')","('', '')","('STRN', '')",.,.,.,.
286,Claqueur,claqueur,.,"('KLKR', '')","('', '')","('KLKR', '')",.,.,.,.
287,Clementine,clémentine,.,"('KLMNTN', '')","('', '')","('KLMNTN', '')",.,.,.,.
288,Clou,clou,Nawel,"('KL', '')","('NL', '')","('KL', '')",0.2222222222222222,0.2222222222222222,0.5,0.5
289,Coiffure,coiffure,Kopfbedäckung,"('KFR', '')","('KPFPTKNK', '')","('KFR', '')",0.19047619047619047,0.19047619047619047,0.36363636363636365,0.36363636363636365
290,Collage,collage,.,"('KLJ', 'KLK')","('', '')","('KLJ', 'KLK')",.,.,.,.
291,Colonel,colonel,Owerscht,"('KLNL', '')","('ARXT', '')","('KLNL', '')",0.13333333333333333,0.13333333333333333,0.0,0.0
292,Contenance,contenance,.,"('KNTNNS', '')","('', '')","('KNTNNS', '')",.,.,.,.
293,Corps,corps,Lib,"('KRPS', '')","('LP', '')","('KRPS', '')",0.0,0.0,0.3333333333333333,0.3333333333333333
294,Couleur,couleur,Fàrbe,"('KLR', '')","('FRP', '')","('KLR', '')",0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333
295,Couloir,couloir,.,"('KLR', '')","('', '')","('KLR', '')",.,.,.,.
296,Coup,coup,Schlààg,"('KP', '')","('XLK', 'SLK')","('KP', '')",0.18181818181818182,0.18181818181818182,0.4,0.4
297,Coupé,coupé,.,"('KP', '')","('', '')","('KP', '')",.,.,.,.
298,Coupon,coupon,.,"('KPN', '')","('', '')","('KPN', '')",.,.,.,.
299,Courtage,courtage,Màglaräi,"('KRTJ', 'KRTK')","('MKLR', '')","('KRTJ', 'KRTK')",0.125,0.125,0.5,0.5
300,Courtoisie,courtoisie,.,"('KRTS', '')","('', '')","('KRTS', '')",.,.,.,.
301,Cousin,cousin,Kussin,"('KSN', '')","('KSN', '')","('KSN', '')",0.6666666666666666,0.6666666666666666,1.0,1.0
302,Cousine,cousine,Kussin,"('KSN', '')","('KSN', '')","('KSN', '')",0.6153846153846154,0.6153846153846154,1.0,1.0
303,Creme,crème,.,"('KRM', '')","('', '')","('KRM', '')",.,.,.,.
304,Crème de la Crème,crème de la crème,.,"('KRMTLKRM', '')","('', '')","('KRMTLKRM', '')",.,.,.,.
305,Crème fraîche,crème fraîche,.,"('KRMFRX', 'KRMFRK')","('', '')","('KRMFRX', 'KRMFRK')",.,.,.,.
306,Crêpe,crêpe,Pfànnaküacha,"('KRP', '')","('PFNKK', '')","('KRP', '')",0.11764705882352941,0.11764705882352941,0.25,0.25
307,Croissant,croissant,.,"('KRSNT', '')","('', '')","('KRSNT', '')",.,.,.,.
308,Croupier,croupier,.,"('KRP', 'KRPR')","('', '')","('KRP', 'KRPR')",.,.,.,.
309,d'accord,d'accord,.,"('TKRT', '')","('', '')","('TKRT', '')",.,.,.,.
310,Daube,dove,.,"('TP', '')","('', '')","('TF', '')",.,.,.,.
311,de luxe,de luxe,.,"('TLKS', '')","('', '')","('TLKS', '')",.,.,.,.
312,Debatte,débattre,Debàtta,"('TPT', '')","('TPT', '')","('TPTR', '')",0.7142857142857143,0.5333333333333333,0.8571428571428571,1.0
313,Debüt,début,Àfàng,"('TPT', '')","('FNK', '')","('TPT', '')",0.0,0.0,0.0,0.0
314,Defätist,défaitiste,.,"('TFTST', '')","('', '')","('TFTST', '')",.,.,.,.
315,Defilee,défilé,.,"('TFL', '')","('', '')","('TFL', '')",.,.,.,.
316,Déjà-vu,déjà-vu,.,"('TJF', '')","('', '')","('TJF', '')",.,.,.,.
317,Dekade,décade,.,"('TKT', '')","('', '')","('TKT', '')",.,.,.,.
318,Dekolleté,décolleté,.,"('TKLT', '')","('', '')","('TKLT', '')",.,.,.,.
319,delikat,délicat,ämpfendlig,"('TLKT', '')","('MPFNTLK', '')","('TLKT', '')",0.35294117647058826,0.35294117647058826,0.5454545454545454,0.5454545454545454
320,delogieren,déloger,.,"('TLJRN', 'TLKRN')","('', '')","('TLKR', 'TLJR')",.,.,.,.
321,dementieren,démentir,.,"('TMNTRN', '')","('', '')","('TMNTR', '')",.,.,.,.
322,demissionieren,démissionner,.,"('TMSNRN', '')","('', '')","('TMSNR', '')",.,.,.,.
323,Demontage,démontage,.,"('TMNTJ', 'TMNTK')","('', '')","('TMNTJ', 'TMNTK')",.,.,.,.
324,deplorabel,déplorable,.,"('TPLRPL', '')","('', '')","('TPLRPL', '')",.,.,.,.
325,Depot,dépôt,Lààger,"('TPT', '')","('LKR', 'LJR')","('TPT', '')",0.18181818181818182,0.0,0.0,0.0
326,deroutieren,dérouter,.,"('TRTRN', '')","('', '')","('TRTR', '')",.,.,.,.
327,Desaster,désastre,.,"('TSSTR', '')","('', '')","('TSSTR', '')",.,.,.,.
328,desaströs,désastreux,.,"('TSSTRS', '')","('', '')","('TSSTRKS', '')",.,.,.,.
329,desavouieren,désavouer,.,"('TSFRN', '')","('', '')","('TSFR', '')",.,.,.,.
330,Deserteur,déserteur,.,"('TSRTR', '')","('', '')","('TSRTR', '')",.,.,.,.
331,Desillusion,désillusion,Äntöischung,"('TSLSN', 'TSLXN')","('NTXNK', '')","('TSLSN', 'TSLXN')",0.2727272727272727,0.2727272727272727,0.6,0.6
332,Dessert,dessert,.,"('TSRT', '')","('', '')","('TSRT', '')",.,.,.,.
333,Detail,détail,.,"('TTL', '')","('', '')","('TTL', '')",.,.,.,.
334,diaphan,diaphane,.,"('TFN', '')","('', '')","('TFN', '')",.,.,.,.
335,Diktionär,dictionnaire,Läxikon,"('TKXNR', '')","('LKSKN', '')","('TKXNR', '')",0.5,0.3157894736842105,0.4,0.4
336,Diplomat,diplomate,.,"('TPLMT', '')","('', '')","('TPLMT', '')",.,.,.,.
337,Diskothek,discothèque,.,"('TSK0K', 'TSKTK')","('', '')","('TSK0K', 'TSKTK')",.,.,.,.
338,Dispositiv,dispositif,.,"('TSPSTF', '')","('', '')","('TSPSTF', '')",.,.,.,.
339,dito,dito,.,"('TT', '')","('', '')","('TT', '')",.,.,.,.
340,Doge,doge,.,"('TJ', 'TK')","('', '')","('TJ', 'TK')",.,.,.,.
341,Dom,dôme,Kuppel,"('TM', '')","('KPL', '')","('TM', '')",0.0,0.2,0.0,0.0
342,Domäne,domaine,.,"('TMN', '')","('', '')","('TMN', '')",.,.,.,.
343,Domestik,domestique,Hüssàngschtält,"('TMSTK', '')","('SNKXTLT', '')","('TMSTK', '')",0.18181818181818182,0.16666666666666666,0.3333333333333333,0.3333333333333333
344,Dompteur,dompteur,.,"('TMPTR', '')","('', '')","('TMPTR', '')",.,.,.,.
345,Dompteuse,dompteuse,.,"('TMPTS', '')","('', '')","('TMPTS', '')",.,.,.,.
346,Dossier,dossier,.,"('TS', 'TSR')","('', '')","('TS', 'TSR')",.,.,.,.
347,Double,double,Doppelganger,"('TPL', '')","('TPLKNKR', 'TPLKNJR')","('TPL', '')",0.4444444444444444,0.4444444444444444,0.6,0.6
348,Drachme,drachme,.,"('TRKM', '')","('', '')","('TRKM', '')",.,.,.,.
349,Dragee,dragée,.,"('TRJ', 'TRK')","('', '')","('TRK', '')",.,.,.,.
350,Dresseur,dresseur,.,"('TRSR', '')","('', '')","('TRSR', '')",.,.,.,.
351,dressieren,dresser,drässiara,"('TRSRN', '')","('TRSR', '')","('TRSR', '')",0.631578947368421,0.625,1.0,0.8888888888888888
352,Druse,Druze,.,"('TRS', '')","('', '')","('TRS', '')",.,.,.,.
353,Eau de Toilette,eau de toilette,.,"('ATTLT', '')","('', '')","('ATTLT', '')",.,.,.,.
354,echauffieren,échauffer,.,"('AXFRN', 'AKFRN')","('', '')","('XFR', 'KFR')",.,.,.,.
355,Eduard,Édouard,.,"('ATRT', '')","('', '')","('TRT', '')",.,.,.,.
356,egal,egal,.,"('AKL', '')","('', '')","('AKL', '')",.,.,.,.
357,Elan,élan,Ànloif,"('ALN', '')","('NLF', '')","('LN', '')",0.2,0.2,0.4,0.3333333333333333
358,Elite,élite,.,"('ALT', '')","('', '')","('LT', '')",.,.,.,.
359,Emaille,émail,.,"('AML', '')","('', '')","('ML', '')",.,.,.,.
360,emblematisch,emblématique,.,"('AMPLMTX', '')","('', '')","('AMPLMTK', '')",.,.,.,.
361,Emeute,émeute,Uffrüahr,"('AMT', '')","('AFRR', '')","('MT', '')",0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857
362,eminent,éminent,.,"('AMNNT', '')","('', '')","('MNNT', '')",.,.,.,.
363,Emissär,émissaire,Boota,"('AMSR', '')","('PT', '')","('MSR', '')",0.0,0.14285714285714285,0.0,0.0
364,en gros,en gros,.,"('ANKRS', '')","('', '')","('ANKRS', '')",.,.,.,.
365,en masse,en masse,.,"('ANMS', '')","('', '')","('ANMS', '')",.,.,.,.
366,en vogue,en vogue,.,"('ANFK', '')","('', '')","('ANFK', '')",.,.,.,.
367,endimanchiert,endimancher,.,"('ANTMNXRT', 'ANTMNKRT')","('', '')","('ANTMNXR', 'ANTMNKR')",.,.,.,.
368,Enfant terrible,enfant terrible,.,"('ANFNTTRPL', '')","('', '')","('ANFNTTRPL', '')",.,.,.,.
369,engagieren,engager,.,"('ANKJRN', 'ANKKRN')","('', '')","('ANKKR', 'ANKJR')",.,.,.,.
370,enorm,enorme,.,"('ANRM', '')","('', '')","('ANRM', '')",.,.,.,.
371,Enquete,enquête,.,"('ANKT', '')","('', '')","('ANKT', '')",.,.,.,.
372,Ensemble,ensemble,Gànza,"('ANSMPL', '')","('KNS', '')","('ANSMPL', '')",0.15384615384615385,0.15384615384615385,0.4444444444444444,0.4444444444444444
373,Entourage,entourage,.,"('ANTRJ', 'ANTRK')","('', '')","('ANTRJ', 'ANTRK')",.,.,.,.
374,Entrecote,entrecôte,.,"('ANTRKT', '')","('', '')","('ANTRKT', '')",.,.,.,.
375,Entree,entrée,Züatrett,"('ANTR', '')","('STRT', '')","('ANTR', '')",0.42857142857142855,0.42857142857142855,0.5,0.5
376,Ergotamin,ergot,.,"('ARKTMN', '')","('', '')","('ARKT', '')",.,.,.,.
377,Eric,Éric,.,"('ARK', '')","('', '')","('RK', '')",.,.,.,.
378,Eskapade,escapade,.,"('ASKPT', '')","('', '')","('ASKPT', '')",.,.,.,.
379,Eskorte,escorte,.,"('ASKRT', '')","('', '')","('ASKRT', '')",.,.,.,.
380,Esparsette,esparcet,.,"('ASPRST', '')","('', '')","('ASPRST', '')",.,.,.,.
381,Esplanade,esplanade,.,"('ASPLNT', '')","('', '')","('ASPLNT', '')",.,.,.,.
382,Esprit,esprit,Geischter,"('ASPRT', '')","('KXTR', 'JXTR')","('ASPRT', '')",0.4,0.4,0.2222222222222222,0.2222222222222222
383,Essayist,essayiste,.,"('ASST', '')","('', '')","('ASST', '')",.,.,.,.
384,Estompe,estompe,.,"('ASTMP', '')","('', '')","('ASTMP', '')",.,.,.,.
385,Estouffade,estouffade,.,"('ASTFT', '')","('', '')","('ASTFT', '')",.,.,.,.
386,Estrade,estrade,Podium,"('ASTRT', '')","('PTM', '')","('ASTRT', '')",0.15384615384615385,0.15384615384615385,0.25,0.25
387,Estragon,estragon,.,"('ASTRKN', '')","('', '')","('ASTRKN', '')",.,.,.,.
388,etablieren,établir,.,"('ATPLRN', '')","('', '')","('TPLR', '')",.,.,.,.
389,Etablissement,établissement,.,"('ATPLSMNT', '')","('', '')","('TPLSMNT', '')",.,.,.,.
390,Etage,étage,Schtock,"('ATJ', 'ATK')","('XTK', 'STK')","('TJ', 'TK')",0.16666666666666666,0.16666666666666666,0.8,0.6666666666666666
391,Etagere,étagère,.,"('ATKR', 'ATJR')","('', '')","('TKR', '')",.,.,.,.
392,Etalage,étalage,.,"('ATLJ', 'ATLK')","('', '')","('TLJ', 'TLK')",.,.,.,.
393,etalieren,étaler,.,"('ATLRN', '')","('', '')","('TLR', '')",.,.,.,.
394,Etalon,étalon,Hängscht,"('ATLN', '')","('NKXT', '')","('TLN', '')",0.14285714285714285,0.14285714285714285,0.2857142857142857,0.25
395,Etamin,étamine,.,"('ATMN', '')","('', '')","('TMN', '')",.,.,.,.
396,Étang,étang,Weiher,"('TNK', '')","('AHR', 'FHR')","('TNK', '')",0.0,0.0,0.0,0.0
397,Etappe,étape,Etàppa,"('ATP', '')","('ATP', '')","('TP', '')",0.6666666666666666,0.36363636363636365,0.8,1.0
398,Etat,état,Züaschtànd,"('ATT', '')","('SXTNT', '')","('TT', '')",0.14285714285714285,0.14285714285714285,0.5714285714285714,0.5
399,etatisieren,étatiser,.,"('ATTSRN', '')","('', '')","('TTSR', '')",.,.,.,.
400,Etatismus,étatisme,.,"('ATTSMS', '')","('', '')","('TTSM', '')",.,.,.,.
401,Etikett,étiquette,Etiket,"('ATKT', '')","('ATKT', '')","('TKT', '')",0.9230769230769231,0.5333333333333333,0.8571428571428571,1.0
402,Etikette,étiquette,Etiket,"('ATKT', '')","('ATKT', '')","('TKT', '')",0.8571428571428571,0.5333333333333333,0.8571428571428571,1.0
403,Etüde,étude,.,"('ATT', '')","('', '')","('TT', '')",.,.,.,.
404,Etui,étui,.,"('AT', '')","('', '')","('T', '')",.,.,.,.
405,Eventualität,éventualité,.,"('AFNTLTT', '')","('', '')","('FNTLT', '')",.,.,.,.
406,Evidenz,évidence,.,"('AFTNS', '')","('', '')","('FTNS', '')",.,.,.,.
407,Existentialismus,existentialisme,.,"('AKSSTNXLSMS', '')","('', '')","('AKSSTNXLSM', '')",.,.,.,.
408,Existentialist,existentialiste,.,"('AKSSTNXLST', '')","('', '')","('AKSSTNXLST', '')",.,.,.,.
409,Expansion,expansion,.,"('AKSPNSN', 'AKSPNXN')","('', '')","('AKSPNSN', 'AKSPNXN')",.,.,.,.
410,expert,expertus,.,"('AKSPRT', '')","('', '')","('AKSPRTS', '')",.,.,.,.
411,Expertise,expertise,.,"('AKSPRTS', '')","('', '')","('AKSPRTS', '')",.,.,.,.
412,Exposee,exposé,.,"('AKSPS', '')","('', '')","('AKSPS', '')",.,.,.,.
413,extravagant,extravagant,.,"('AKSTRFKNT', '')","('', '')","('AKSTRFKNT', '')",.,.,.,.
414,exzeptionell,exceptionnel,.,"('AKSSPXNL', '')","('', '')","('AKSPXNL', '')",.,.,.,.
415,Fabienne,Fabienne,.,"('FPN', '')","('', '')","('FPN', '')",.,.,.,.
416,Fabrik,fabrique,.,"('FPRK', '')","('', '')","('FPRK', '')",.,.,.,.
417,Fabrikant,fabriquant,.,"('FPRKNT', '')","('', '')","('FPRKNT', '')",.,.,.,.
418,Facette,facette,.,"('FST', '')","('', '')","('FST', '')",.,.,.,.
419,fade,fade,.,"('FT', '')","('', '')","('FT', '')",.,.,.,.
420,Faible,faible,.,"('FPL', '')","('', '')","('FPL', '')",.,.,.,.
421,Fanal,fanal,.,"('FNL', '')","('', '')","('FNL', '')",.,.,.,.
422,fanatisch,fanatique,.,"('FNTX', '')","('', '')","('FNTK', '')",.,.,.,.
423,Fanatismus,fanatisme,.,"('FNTSMS', '')","('', '')","('FNTSM', '')",.,.,.,.
424,Fanfaronade,fanfaronnade,.,"('FNFRNT', '')","('', '')","('FNFRNT', '')",.,.,.,.
425,Farce,farce,Schàbernàck,"('FRS', '')","('XPRNK', 'SPRNK')","('FRS', '')",0.25,0.25,0.25,0.25
426,Fassade,façade,Fàssàda,"('FST', '')","('FST', '')","('FT', '')",0.5714285714285714,0.3076923076923077,0.8,1.0
427,Fasson,façon,.,"('FSN', '')","('', '')","('FN', '')",.,.,.,.
428,Fauteuil,fauteuil,Sassel,"('FTL', '')","('SSL', '')","('FTL', '')",0.42857142857142855,0.42857142857142855,0.3333333333333333,0.3333333333333333
429,Fauxpas,faux pas,.,"('FKSPS', '')","('', '')","('FKSPS', '')",.,.,.,.
430,Fee,fée,.,"('F', '')","('', '')","('F', '')",.,.,.,.
431,Feston,feston,.,"('FSTN', '')","('', '')","('FSTN', '')",.,.,.,.
432,Fete,fête,Feschter,"('FT', '')","('FXTR', '')","('FT', '')",0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666
433,Fetisch,fétiche,.,"('FTX', '')","('', '')","('FTX', 'FTK')",.,.,.,.
434,fetischisieren,fétichiser,.,"('FTXSRN', '')","('', '')","('FTXSR', 'FTKSR')",.,.,.,.
435,Feuilleton,feuilleton,.,"('FLTN', '')","('', '')","('FLTN', '')",.,.,.,.
436,Feuilletonist,feuilletoniste,.,"('FLTNST', '')","('', '')","('FLTNST', '')",.,.,.,.
437,Fiaker,fiacre,Droschka,"('FKR', '')","('TRXK', '')","('FKR', '')",0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857
438,Filet,filet,Nätz,"('FLT', '')","('NTS', '')","('FLT', '')",0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333
439,Filou,filou,.,"('FL', '')","('', '')","('FL', '')",.,.,.,.
440,Financier,financier,.,"('FNNS', 'FNNXR')","('', '')","('FNNS', 'FNNXR')",.,.,.,.
441,Finanzier,financier,.,"('FNNS', 'FNNSR')","('', '')","('FNNS', 'FNNXR')",.,.,.,.
442,Finesse,finesse,Fihnhait,"('FNS', '')","('FNT', '')","('FNS', '')",0.4,0.4,0.6666666666666666,0.6666666666666666
443,Flair,flair,.,"('FLR', '')","('', '')","('FLR', '')",.,.,.,.
444,Flakon,flacon,.,"('FLKN', '')","('', '')","('FLKN', '')",.,.,.,.
445,flamboyant,flamboyant,.,"('FLMPNT', '')","('', '')","('FLMPNT', '')",.,.,.,.
446,Flanell,flanelle,Flànall,"('FLNL', '')","('FLNL', '')","('FLNL', '')",0.7142857142857143,0.6666666666666666,1.0,1.0
447,Flaneur,flâneur,.,"('FLNR', '')","('', '')","('FLNR', '')",.,.,.,.
448,flatulent,flatulent,.,"('FLTLNT', '')","('', '')","('FLTLNT', '')",.,.,.,.
449,Flexibilität,flexibilité,.,"('FLKSPLTT', '')","('', '')","('FLKSPLT', '')",.,.,.,.
450,florentinisch,Florentin,.,"('FLRNTNX', '')","('', '')","('FLRNTN', '')",.,.,.,.
451,Florett,fleuret,.,"('FLRT', '')","('', '')","('FLRT', '')",.,.,.,.
452,Flotte,flotte,.,"('FLT', '')","('', '')","('FLT', '')",.,.,.,.
453,Flottille,flottille,.,"('FLTL', '')","('', '')","('FLTL', '')",.,.,.,.
454,Flus,flouze,.,"('FLS', '')","('', '')","('FLS', '')",.,.,.,.
455,Fond,fond,Hentergrund,"('FNT', '')","('HNTRKRNT', '')","('FNT', '')",0.26666666666666666,0.26666666666666666,0.36363636363636365,0.36363636363636365
456,Fonds,fonds,.,"('FNTS', '')","('', '')","('FNTS', '')",.,.,.,.
457,Fondue,fondue,.,"('FNT', '')","('', '')","('FNT', '')",.,.,.,.
458,formidabel,formidable,.,"('FRMTPL', '')","('', '')","('FRMTPL', '')",.,.,.,.
459,Fossil,fossile,.,"('FSL', '')","('', '')","('FSL', '')",.,.,.,.
460,foudroyant,foudroyant,.,"('FTRNT', '')","('', '')","('FTRNT', '')",.,.,.,.
461,Fourgon,fourgon,.,"('FRKN', '')","('', '')","('FRKN', '')",.,.,.,.
462,Fourier,Fourier,.,"('FR', 'FRR')","('', '')","('FR', 'FRR')",.,.,.,.
463,foutieren,foutre,.,"('FTRN', '')","('', '')","('FTR', '')",.,.,.,.
464,Foyer,foyer,Brännpunkt,"('FR', '')","('PRNPNKT', '')","('FR', '')",0.13333333333333333,0.13333333333333333,0.2222222222222222,0.2222222222222222
465,Fraktion,fraction,Bruchtail,"('FRKXN', '')","('PRKTL', '')","('FRKXN', '')",0.35294117647058826,0.35294117647058826,0.4,0.4
466,frappant,frappant,.,"('FRPNT', '')","('', '')","('FRPNT', '')",.,.,.,.
467,frappieren,frapper,.,"('FRPRN', '')","('', '')","('FRPR', '')",.,.,.,.
468,Freske,fresque,.,"('FRSK', '')","('', '')","('FRSK', '')",.,.,.,.
469,Fries,friche,.,"('FRS', '')","('', '')","('FRX', 'FRK')",.,.,.,.
470,Frikadelle,fricadel,.,"('FRKTL', '')","('', '')","('FRKTL', '')",.,.,.,.
471,Frikassee,fricassée,.,"('FRKS', '')","('', '')","('FRKS', '')",.,.,.,.
472,Frisur,frisure,.,"('FRSR', '')","('', '')","('FRSR', '')",.,.,.,.
473,Fritteuse,friteuse,.,"('FRTS', '')","('', '')","('FRTS', '')",.,.,.,.
474,Frittüre,friture,.,"('FRTR', '')","('', '')","('FRTR', '')",.,.,.,.
475,frivol,frivole,.,"('FRFL', '')","('', '')","('FRFL', '')",.,.,.,.
476,Frottee,frotté,.,"('FRT', '')","('', '')","('FRT', '')",.,.,.,.
477,frottieren,frotter,riwa,"('FRTRN', '')","('R', '')","('FRTR', '')",0.2857142857142857,0.18181818181818182,0.4,0.3333333333333333
478,frugal,frugalis,.,"('FRKL', '')","('', '')","('FRKLS', '')",.,.,.,.
479,Furier,fourrier,.,"('FR', 'FRR')","('', '')","('FR', 'FRR')",.,.,.,.
480,furnieren,fournir,.,"('FRNRN', '')","('', '')","('FRNR', '')",.,.,.,.
481,Gage,gage,.,"('KJ', 'KK')","('', '')","('KJ', 'KK')",.,.,.,.
482,Galanterie,galanterie,.,"('KLNTR', '')","('', '')","('KLNTR', '')",.,.,.,.
483,Gallimathias,galimatias,.,"('KLM0S', 'KLMTS')","('', '')","('KLMXS', '')",.,.,.,.
484,Galosche,galoche,.,"('KLX', '')","('', '')","('KLX', 'KLK')",.,.,.,.
485,Gamasche,gamache,Gàmàscha,"('KMX', '')","('KMX', '')","('KMX', 'KMK')",0.625,0.5333333333333333,1.0,1.0
486,Ganache,ganache,.,"('KNX', 'KNK')","('', '')","('KNX', 'KNK')",.,.,.,.
487,Ganasche,ganache,.,"('KNX', '')","('', '')","('KNX', 'KNK')",.,.,.,.
488,Garage,garage,.,"('KRJ', 'KRK')","('', '')","('KRJ', 'KRK')",.,.,.,.
489,Garant,Garant,Gàrànti,"('KRNT', '')","('KRNT', '')","('KRNT', '')",0.6153846153846154,0.6153846153846154,1.0,1.0
490,Garantie,garantie,Gàrànti,"('KRNT', '')","('KRNT', '')","('KRNT', '')",0.6666666666666666,0.6666666666666666,1.0,1.0
491,Garde,garde,Wachter,"('KRT', '')","('AKTR', 'FKTR')","('KRT', '')",0.3333333333333333,0.3333333333333333,0.5714285714285714,0.5714285714285714
492,Garderobe,garde-robe,.,"('KRTRP', '')","('', '')","('KRTRP', '')",.,.,.,.
493,Garnison,garnison,.,"('KRNSN', '')","('', '')","('KRNSN', '')",.,.,.,.
494,Garnitur,garniture,.,"('KRNTR', '')","('', '')","('KRNTR', '')",.,.,.,.
495,Gaullismus,gaullisme,.,"('KLSMS', '')","('', '')","('KLSM', '')",.,.,.,.
496,Gaze,gaze,.,"('KS', '')","('', '')","('KS', '')",.,.,.,.
497,Gelatine,gélatine,.,"('KLTN', 'JLTN')","('', '')","('KLTN', '')",.,.,.,.
498,Gelee,gelée,.,"('KL', 'JL')","('', '')","('KL', 'JL')",.,.,.,.
499,genant,gênant,.,"('JNNT', 'KNNT')","('', '')","('KNNT', '')",.,.,.,.
500,Gendarm,gendarme,.,"('JNTRM', 'KNTRM')","('', '')","('JNTRM', 'KNTRM')",.,.,.,.
501,Gendarmerie,gendarmerie,.,"('JNTRMR', 'KNTRMR')","('', '')","('JNTRMR', 'KNTRMR')",.,.,.,.
502,Genie,génie,.,"('JN', 'KN')","('', '')","('KN', '')",.,.,.,.
503,genieren,gêner,.,"('JNRN', 'KNRN')","('', '')","('KNR', '')",.,.,.,.
504,Genre,genre,Àrt,"('JNR', 'KNR')","('RT', '')","('JNR', 'KNR')",0.25,0.25,0.4,0.4
505,gentil,gentil,.,"('JNTL', 'KNTL')","('', '')","('JNTL', 'KNTL')",.,.,.,.
506,Gepard,guépard,.,"('KPRT', 'JPRT')","('', '')","('KPRT', '')",.,.,.,.
